nom ;annee ;morts ;lieux
Mitch;1998;19325;Nicaragua, Honduras, El Salvador, Guatemala
Fifi;1974;10000;Honduras
Flora;1963;8000;Haïti, Cuba
Jeanne;2004;3037;Les Gonaïves (Haïti)
David;1979;2063;République dominicaine, Dominique
Katrina;2005;1836;De la Louisiane à la Floride
Hazel;1954;1200;Haïti, Côte Est des États-Unis, Ontario (Canada)
Inez;1966;1000;Mer des Caraïbes, Mexique
Janet;1955;681;Mexique, Belize, Barbade
Georges;1998;603;Hispaniola
Audrey;1957;419;Louisiane
Donna;1960;364;Porto Rico, Bahamas, Côte Est des États-Unis
Gilbert;1988;327;Mexique, Mer des Caraïbes
Hattie;1961;275;Belize
Allen;1980;261;Hispaniola
Camille;1969;259;Mississippi (État), Virginie
Sandy;2012;234;Caraïbes, Bahamas, Côte est des États-Unis
Cleo;1964;217;Petites Antilles
Joan;1988;216;Amérique centrale
Ike;2008;195;Mer des Caraïbes, Texas (États-Unis), Mexique
Diane;1955;200;Nord-est des États-Unis
Agnes;1972;129;Côte est des États-Unis
Diana;1990;96;Mexique
Ivan;2004;92;Sud-est des États-Unis, Mer des Caraïbes, Alabama, Floride
Stan;2005;100;Mexique, El Salvador, Guatemala
Eloise;1975;80;Grandes Antilles, Côte Est des États-Unis
Betsy;1965;76;Louisiane
Carol;1954;60;Nouvelle-Angleterre
Opal;1995;59;Guatemala, Mexique
Beulah;1967;59;Texas, Mexique, Martinique
Floyd;1999;57;Caroline du Nord
Hugo;1989;56;Guadeloupe, Montserrat, Caroline du Sud
Cesar;1996;51;Amérique centrale
Carla;1961;46;Texas
Dennis;2005;42;Haïti, Cuba, Alabama, Floride
Allison;2001;41;Sud des États-Unis
Hilda;1964;38;Louisiane
Iris;2001;31;Placencia, Belize
Andrew;1992;26;Floride, Louisiane
Fran;1996;26;Caroline du Nord, Nord-est des États-Unis
Connie;1955;25;Côte Est des États-Unis
Keith;2000;24;Amérique centrale
Wilma;2005;23;Haïti, Quintana Roo, Floride
Gracie;1959;22;Virginie, Caroline du Sud, Géorgie
Alicia;1983;21;Texas
Hortense;1996;21;République dominicaine, Porto Rico
Edna;1954;20;Nouvelle-Angleterre
Luis;1995;17;Saint-Martin (île), Mer des Caraïbes
Lenny;1999;17;Petites Antilles, Colombie
Michelle;2001;17;Honduras, Cuba, Nicaragua
Celia;1970;16;Texas, Cuba
Isabel;2003;16;Côte Est des États-Unis
Charley;2004;15;Floride, Jamaïque
Roxanne;1995;14;Mexique
Lili;2002;13;Saint-Vincent-et-les-Grenadines, Jamaïque, Haïti
Klaus;1990;11;Martinique, Sud-est des États-Unis
Anita;1977;10;Mexique
Ione;1955;8;Caroline du Nord
Gloria;1985;8;Nord-est des États-Unis
Bob;1991;8;Nord-est des États-Unis
Marilyn;1995;8;Saint-Thomas, Îles Vierges américaines, Porto Rico
Fabian;2003;8;Bermudes, Côte Est des États-Unis
Rita;2005;7;Texas - Louisiane
Frances;2004;7;Floride
Frederic;1979;5;Mississippi (État)-Alabama
Isidore;2002;4;Mexique, Louisiane
Juan;2003;4;Canada atlantique, Est du Québec
Dora;1964;1;Côte Est des États-Unis
Carmen;1974;1;Louisiane
Elena;1985;0;Mississippi (État)
